uid,receptor_chains,ligand_chains,dG
4gn3,A,B,-7.28
4gn4,A,B,-9.0
4gn5,D,A,-10.24
4h5s,B,A,-6.69
4h6j,B,A,-9.16
4hcn,A,B,-5.42
4hcp,A,B,-6.85
4hdo,A,B,-8.79
4hep,A,G,-8.89
4hgk,A,D,-13.26
4hgm,B,A,-10.63
4i0c,A,D,-8.64
4ika,A,D,-5.78
4iop,B,A,-12.51
4iu3,B,A,-10.47
4j2l,A,C,-9.62
4j32,A,B,-12.13
4je4,A,B,-10.71
4jeg,A,B,-10.8
4jeh,A,B,-11.03
4jeu,A,B,-12.07
4js0,A,B,-7.23
4jw2,B,A,-11.5
4jw3,A,C,-7.96
4k1r,A,B,-6.81
4k5a,A,B,-10.89
4k5b,A,D,-12.53
4k81,A,B,-7.42
4kbb,A,C,-9.2
4kdi,A,C,-8.38
4kr0,A,B,-10.6
4krl,A,B,-9.99
4kt1,A,E,-9.88
4lqw,A,D,-5.49
4lyl,A,B,-10.24
4lzx,A,B,-11.31
4m1l,A,B,-9.2
4m5f,A,B,-14.82
4m6b,A,C,-11.11
4m76,A,B,-8.65
4mi8,A,C,-7.99
4mit,A,E,-9.2
4mjs,A,B,-10.45
4ml7,A,B,-13.05
4mp0,A,B,-10.99
4mqv,A,B,-7.55
4mrt,A,C,-8.23
4msm,A,B,-7.53
4myw,B,A,-10.53
4ne9,A,P,-8.09
4niq,A,C,-7.23
4nl9,A,C,-9.0
4nqw,A,B,-8.7
4ofy,D,A,-8.48
4ojk,A,C,-6.35
4ons,A,B,-10.64
4p3y,A,B,-9.32
4p5t,B,A,-7.23
4pas,B,A,-9.41
4pbv,A,C,-7.66
4pbw,B,E,-8.53
4pbz,A,B,-9.96
4pc0,A,C,-9.13
4pgj,B,A,-10.34
4pj2,D,A,-14.08
4pou,B,A,-9.28
4pvz,A,C,-10.31
4pw9,A,B,-6.64
4qlp,B,A,-13.14
4qxa,A,B,-8.86
4qzv,A,B,-6.06
4re1,A,D,-8.07
4rey,A,B,-9.5
4rjf,A,B,-9.0
4rt6,A,B,-10.74
4s0s,A,D,-10.83
4tq0,A,B,-7.04
4tq1,A,B,-4.71
4u0q,A,B,-8.12
4u2x,A,D,-12.27
4u4c,A,B,-8.87
4udm,B,A,-11.45
4uem,A,B,-11.17
4uf1,A,B,-7.03
4ui1,A,D,-9.42
4uwx,A,C,-7.04
4uyq,A,B,-14.8
4v0n,D,C,-8.81
4wem,A,B,-7.05
4wen,A,B,-9.54
4weu,B,D,-7.15
4wnd,A,B,-10.2
4wnn,B,A,-8.31
4wwi,D,A,-10.66
4x7s,H,L,-10.91
4xhu,C,D,-10.34
4xkl,A,B,-6.01
4xoi,B,A,-7.0
4xwj,A,B,-11.39
4xxw,B,C,-7.21
4y5o,B,A,-7.98
4y61,A,B,-8.79
4yc7,B,A,-7.8
4yeb,B,A,-10.59
4yfd,A,B,-8.41
4yiq,B,A,-7.77
4yiz,A,B,-11.04
4yl8,A,B,-7.18
4yoc,A,C,-8.48
4yvq,C,A,-7.76
4yyp,A,B,-8.94
4z80,A,C,-10.8
4z9k,A,B,-11.81
4zgq,A,B,-7.64
4zlt,B,F,-12.07
4zrj,A,B,-7.55
4zrk,A,E,-8.18
5abv,A,B,-12.66
5ajj,A,B,-7.49
5ayr,A,B,-11.87
5ays,A,C,-12.67
5b64,A,B,-9.76
5bn5,A,B,-6.76
5bnq,R,A,-13.37
5c4v,A,B,-8.12
5d5m,A,B,-8.39
5d7l,A,B,-6.79
5dfw,H,A,-12.68
5dmj,A,B,-11.28
5dob,A,B,-8.18
5e6p,A,B,-7.77
5eb1,A,B,-9.35
5elu,A,B,-8.7
5eo9,B,A,-8.77
5ep6,B,A,-8.38
5eql,A,B,-9.77
5et1,A,C,-9.5
5f3x,A,B,-11.62
5f5s,A,B,-10.58
5gjk,A,B,-9.44
5gtb,A,B,-5.91
5h3j,A,B,-8.96
5imk,B,A,-8.28
5imm,B,A,-11.53
5ius,C,A,-13.49
5jjd,B,A,-6.87
5jke,A,B,-9.6
5jlv,A,C,-10.67
5jmc,A,B,-9.63
5jyl,B,A,-10.99
5jze,A,B,-6.99
5k22,A,B,-10.37
5k39,A,B,-10.61
5lxq,B,A,-8.45
5lz3,A,B,-6.44
5lz6,A,B,-6.95
5m2o,A,B,-11.01
5m72,A,B,-10.2
5ml9,A,B,-9.09
5mn2,A,D,-7.62
5mv8,A,B,-7.98
5my6,A,B,-11.45
5n88,H,E,-8.18
5npo,A,B,-8.21
5nus,A,B,-10.85
5nvk,A,B,-12.81
5nvl,A,B,-12.98
5nvm,A,B,-10.71
5odw,A,C,-13.12
5oen,B,A,-10.91
5omn,B,C,-10.94
5ovw,A,H,-12.31
5tzn,F,A,-7.14
5tzp,A,B,-10.26
5tzq,A,D,-10.63
5un7,A,B,-9.44
5v52,D,A,-7.41
5vt9,A,C,-10.91
5wb8,A,C,-7.57
5wos,A,B,-8.8
5xqz,A,C,-6.7
6aaf,A,B,-9.26
6akm,A,B,-7.04
6amb,A,B,-6.48
6arq,D,A,-6.81
6aw2,B,A,-9.88
6bxa,A,C,-10.09
6bxc,A,D,-10.75
6ch2,A,D,-6.19
6ch3,A,B,-6.82
6f3z,A,B,-8.72
6fc3,A,B,-10.5
6ff3,A,B,-10.73
6fg8,B,A,-8.19
6fuz,A,N,-6.85
6gbg,A,D,-8.7
6gbh,A,B,-9.76
6h16,A,B,-10.22
6i2m,B,A,-11.28
6idx,A,C,-7.46
6isc,A,B,-7.66
6iw8,C,A,-8.85
6j56,A,C,-8.42
6j9h,B,A,-10.06
6jb2,B,A,-8.9
6jb8,B,A,-13.48
6jhw,B,A,-10.56
6kbm,A,B,-8.48
6kbr,A,C,-15.07
6p7s,A,B,-13.12
6p7y,A,B,-12.62
6qb3,X,A,-7.67
6s29,A,B,-11.06
6sak,A,C,-10.24
7sq2,B,A,-9.13
